"","Mean","CI_2.5","CI_97.5"
"lambda[1,1]",-0.0346152198197987,-0.243411341526426,0.176726237451219
"lambda[2,1]",0.373269435748245,0.275406234319673,0.469518028114112
"lambda[3,1]",0.410996088155701,0.337927830779532,0.483006183105447
"lambda[4,1]",0.165403412472122,0.0914388932686033,0.23889007800652
"lambda[5,1]",0.0446204143566029,-0.0308359442634284,0.122177840050722
"lambda[6,1]",0.011318659603148,-0.0569415249810265,0.0783980354573872
"lambda[1,2]",1.12935911695919,0.897446403341862,1.38423652438049
"lambda[2,2]",0.178558844303024,0.036017876266089,0.310603175746122
"lambda[3,2]",0.0915177861361858,-0.00389000541292526,0.182474658374173
"lambda[4,2]",0.431189756679025,0.329027991821278,0.531266981947311
"lambda[5,2]",-0.19736642127173,-0.273889757118636,-0.119000763326898
"lambda[6,2]",0.221261956029323,0.123274949355936,0.32124761282877
"lambda[1,3]",-0.524594001531506,-0.815927264758925,-0.225837614009494
"lambda[2,3]",0.270152402281624,0.0208655826258286,0.52612323583748
"lambda[3,3]",0.21781055816687,0.0568841874432991,0.379445550067735
"lambda[4,3]",-0.0300508059335136,-0.214526478267141,0.163604067775286
"lambda[5,3]",-0.0450254660137872,-0.186096853987542,0.103739753474017
"lambda[6,3]",-0.23063794599037,-0.405383567284276,-0.0506537900701688
