"","parameter","e3_tu_gu_sf","p3_tu_gu_sf","p3_tc_gc_sf"
"theta1_1.mu","theta1_1.mu","17.32 (13.53, 22.33)","20.67 (15.99, 26.87)","16.61 (13.07, 21.22)"
"theta1_2.mu","theta1_2.mu","3.74 (1.74, 8.38)","5.42 (2.72, 10.75)","8.53 (6.48, 11.32)"
"theta1_3.mu","theta1_3.mu","9.07 (7.07, 11.68)","10.13 (7.78, 13.25)","7.45 (5.75, 9.73)"
"theta2_1.mu","theta2_1.mu","0.85 (0.55, 1.35)","1.00 (0.76, 1.33)",
"theta2_2.mu","theta2_2.mu","0.21 (0.07, 0.68)","0.32 (0.18, 0.53)",
"theta2_3.mu","theta2_3.mu","1.34 (0.86, 1.79)","1.64 (1.18, 1.98)",
"theta3_1.mu","theta3_1.mu","8.25 (6.83, 10.25)","6.01 (4.34, 8.89)",
"theta3_2.mu","theta3_2.mu","5.19 (3.68, 6.81)","4.02 (2.07, 5.76)",
"theta3_3.mu","theta3_3.mu","2.88 (2.50, 3.45)","2.42 (2.13, 2.80)",
"gamma.mu","gamma.mu",,,"0.43 (0.28, 0.67)"
"theta2.mu","theta2.mu",,,"0.70 (0.48, 1.03)"
"sigma.mu","sigma.mu","2.13 (1.56, 2.95)","2.14 (1.57, 2.95)","2.57 (2.00, 3.32)"
"theta1_1.sigma","theta1_1.sigma","10.36 (6.92, 15.92)","12.58 (8.39, 19.40)","9.09 (6.09, 13.86)"
"theta1_2.sigma","theta1_2.sigma","5.54 (2.08, 16.40)","7.08 (3.13, 18.34)","5.49 (3.66, 8.57)"
"theta1_3.sigma","theta1_3.sigma","5.23 (3.48, 8.05)","6.24 (4.11, 9.73)","4.43 (2.90, 6.91)"
"theta2_1.sigma","theta2_1.sigma","0.75 (0.41, 1.41)","0.58 (0.35, 0.96)",
"theta2_2.sigma","theta2_2.sigma","0.18 (0.00, 1.02)","0.08 (0.00, 0.37)",
"theta2_3.sigma","theta2_3.sigma","1.61 (1.00, 1.99)","1.54 (0.99, 1.97)",
"theta3_1.sigma","theta3_1.sigma","3.45 (2.20, 5.75)","3.63 (1.74, 7.94)",
"theta3_2.sigma","theta3_2.sigma","2.86 (1.84, 4.46)","2.69 (1.48, 4.71)",
"theta3_3.sigma","theta3_3.sigma","0.75 (0.40, 1.36)","0.41 (0.11, 0.85)",
"gamma.sigma","gamma.sigma",,,"0.28 (0.09, 0.64)"
"theta2.sigma","theta2.sigma",,,"0.51 (0.29, 0.91)"
"sigma.sigma","sigma.sigma","1.58 (1.02, 2.55)","1.58 (1.03, 2.55)","1.53 (1.03, 2.36)"
"deviance","deviance","3658.88388605044","3666.40907656674","4329.45294547977"
"penalty","penalty","225.829728064318","196.003735385321","156.40731307201"
"penalised_deviance","penalised_deviance","3884.71361411476","3862.41281195206","4485.86025855178"
