"","parameter","power3","exp3"
"theta1.mu","theta1.mu","32.71 (26.13, 40.81)","27.60 (22.17, 34.88)"
"theta2.mu","theta2.mu","1.10 (0.78, 1.58)","1.00 (0.60, 1.56)"
"theta3.mu","theta3.mu","13.72 (11.43, 17.49)","17.52 (14.73, 22.40)"
"sigma.mu","sigma.mu","4.02 (3.08, 5.27)","3.97 (3.04, 5.29)"
"theta1.sigma","theta1.sigma","17.37 (11.78, 25.92)","13.45 (8.51, 21.09)"
"theta2.sigma","theta2.sigma","0.73 (0.41, 1.30)","0.98 (0.48, 1.78)"
"theta3.sigma","theta3.sigma","4.45 (2.21, 9.52)","5.72 (2.56, 12.00)"
"sigma.sigma","sigma.sigma","2.52 (1.67, 3.88)","2.51 (1.62, 3.95)"
"deviance","deviance","1920.91576704396","1913.36284291743"
"penalty","penalty","101.273228468849","118.464557572836"
"penalised_deviance","penalised_deviance","2022.18899551281","2031.82740049027"
