,f,theta2_constraint,gamma_constraint,strategy_predictors,name,deviance,penalty,penalised_deviance,result,order
p3_tc_gc_st,power3,TRUE,TRUE,TRUE,p3_tc_gc_st,3633.202934,164.8556353,3798.058569,"3798 (165, 3633)",16
e3_tc_gc_st,exp3,TRUE,TRUE,TRUE,e3_tc_gc_st,3609.973091,180.5370832,3790.510174,"3791 (181, 3610)",14
p3_tu_gc_st,power3,FALSE,TRUE,TRUE,p3_tu_gc_st,3358.304009,204.829867,3563.133876,"3563 (205, 3358)",12
e3_tu_gc_st,exp3,FALSE,TRUE,TRUE,e3_tu_gc_st,3369.197584,234.0873542,3603.284939,"3603 (234, 3369)",10
p3_tc_gu_st,power3,TRUE,FALSE,TRUE,p3_tc_gu_st,3330.02636,195.5729314,3525.599291,"3526 (196, 3330)",15
e3_tc_gu_st,exp3,TRUE,FALSE,TRUE,e3_tc_gu_st,3315.199472,214.7156618,3529.915134,"3530 (215, 3315)",13
p3_tu_gu_st,power3,FALSE,FALSE,TRUE,p3_tu_gu_st,3285.587977,213.5464984,3499.134475,"3499 (214, 3286)",11
e3_tu_gu_st,exp3,FALSE,FALSE,TRUE,e3_tu_gu_st,3271.136951,237.6744622,3508.811414,"3509 (238, 3271)",9
p3_tc_gc_sf,power3,TRUE,TRUE,FALSE,p3_tc_gc_sf,4332.846024,155.841392,4488.687416,"4489 (156, 4333)",8
e3_tc_gc_sf,exp3,TRUE,TRUE,FALSE,e3_tc_gc_sf,4317.87005,173.7712613,4491.641311,"4492 (174, 4318)",6
p3_tu_gc_sf,power3,FALSE,TRUE,FALSE,p3_tu_gc_sf,3719.803008,186.2012752,3906.004284,"3906 (186, 3720)",4
e3_tu_gc_sf,exp3,FALSE,TRUE,FALSE,e3_tu_gc_sf,3750.455376,201.9235236,3952.3789,"3952 (202, 3750)",2
p3_tc_gu_sf,power3,TRUE,FALSE,FALSE,p3_tc_gu_sf,3730.82511,184.0382632,3914.863373,"3915 (184, 3731)",7
e3_tc_gu_sf,exp3,TRUE,FALSE,FALSE,e3_tc_gu_sf,3729.242626,205.133135,3934.375761,"3934 (205, 3729)",5
p3_tu_gu_sf,power3,FALSE,FALSE,FALSE,p3_tu_gu_sf,3667.790267,195.0105205,3862.800787,"3863 (195, 3668)",3
e3_tu_gu_sf,exp3,FALSE,FALSE,FALSE,e3_tu_gu_sf,3659.942935,228.9177295,3888.860664,"3889 (229, 3660)",1
