"","parameter","e3_tu_gu_sf","p3_tu_gu_sf","p3_tc_gc_sf"
"theta1_1.mu","theta1_1.mu","16.67 (12.46, 21.16)","20.18 (14.39, 26.10)","16.97 (13.02, 21.02)"
"theta1_2.mu","theta1_2.mu","2.69 (1.41, 4.07)","6.19 (3.88, 8.62)","8.38 (6.55, 10.39)"
"theta1_3.mu","theta1_3.mu","9.23 (7.15, 11.44)","9.93 (7.57, 12.40)","7.56 (5.46, 9.79)"
"theta2_1.mu","theta2_1.mu","-0.67 (-0.90, -0.46)","-0.86 (-0.99, -0.68)",
"theta2_2.mu","theta2_2.mu","-0.16 (-0.26, -0.09)","-0.20 (-0.30, -0.11)",
"theta2_3.mu","theta2_3.mu","-0.84 (-0.99, -0.58)","-0.91 (-1.00, -0.70)",
"theta3_1.mu","theta3_1.mu","7.81 (6.44, 9.40)","5.04 (3.61, 6.52)",
"theta3_2.mu","theta3_2.mu","5.05 (3.89, 6.22)","1.84 (0.18, 3.47)",
"theta3_3.mu","theta3_3.mu","2.45 (2.12, 2.87)","2.01 (1.46, 3.15)",
"gamma.mu","gamma.mu",,,"0.41 (0.29, 0.56)"
"theta2.mu","theta2.mu",,,"-0.77 (-0.97, -0.58)"
"sigma.mu","sigma.mu","0.70 (0.03, 1.77)","0.74 (0.03, 1.86)","1.43 (0.12, 2.52)"
"theta1_1.sigma","theta1_1.sigma","10.75 (7.78, 14.99)","13.50 (9.89, 18.49)","9.43 (6.79, 13.24)"
"theta1_2.sigma","theta1_2.sigma","2.76 (1.69, 4.24)","3.87 (2.37, 5.80)","4.33 (3.13, 6.12)"
"theta1_3.sigma","theta1_3.sigma","5.03 (3.56, 7.14)","5.54 (3.73, 7.89)","5.04 (3.45, 7.11)"
"theta2_1.sigma","theta2_1.sigma","0.46 (0.30, 0.68)","0.45 (0.30, 0.66)",
"theta2_2.sigma","theta2_2.sigma","0.05 (0.01, 0.14)","0.13 (0.07, 0.20)",
"theta2_3.sigma","theta2_3.sigma","0.78 (0.50, 1.23)","0.91 (0.60, 1.35)",
"theta3_1.sigma","theta3_1.sigma","3.30 (1.91, 5.25)","2.90 (1.78, 4.61)",
"theta3_2.sigma","theta3_2.sigma","2.52 (1.67, 3.58)","1.52 (0.30, 2.86)",
"theta3_3.sigma","theta3_3.sigma","0.63 (0.31, 1.09)","0.78 (0.02, 4.53)",
"gamma.sigma","gamma.sigma",,,"0.22 (0.12, 0.41)"
"theta2.sigma","theta2.sigma",,,"0.39 (0.24, 0.59)"
"sigma.sigma","sigma.sigma","2.24 (1.50, 3.19)","2.24 (1.45, 3.23)","2.09 (1.24, 3.32)"
"deviance","deviance","4072.61814564939","4098.72316254106","4739.24266121893"
"penalty","penalty","212.806716382852","187.591664460673","140.278082120679"
"penalised_deviance","penalised_deviance","4285.42486203225","4286.31482700173","4879.52074333961"
