"","Mean","CI_2.5","CI_97.5","text"
"lambda[1,1]",0.965977033574542,0.783948976670949,1.1933043663616,"0.97 (0.78, 1.19)"
"lambda[2,1]",1.45247563597561,1.31706560345647,1.59922322680564,"1.45 (1.32, 1.60)"
"lambda[3,1]",1.50831945623565,1.40203931566957,1.62093992742358,"1.51 (1.40, 1.62)"
"lambda[4,1]",1.17986899658609,1.09574981695697,1.26983894568361,"1.18 (1.10, 1.27)"
"lambda[5,1]",1.04563087809957,0.969634634152339,1.12995503517356,"1.05 (0.97, 1.13)"
"lambda[6,1]",1.01138295799229,0.944649306137622,1.08155306947572,"1.01 (0.94, 1.08)"
"lambda[1,2]",3.09367318197899,2.45333028940896,3.99177711661993,"3.09 (2.45, 3.99)"
"lambda[2,2]",1.19549322916957,1.03667437819232,1.36424774716388,"1.20 (1.04, 1.36)"
"lambda[3,2]",1.0958362672123,0.996117550856979,1.20018373596104,"1.10 (1.00, 1.20)"
"lambda[4,2]",1.53908757439604,1.389616752947,1.70108618935916,"1.54 (1.39, 1.70)"
"lambda[5,2]",0.820889786718129,0.760415901080168,0.887807123074634,"0.82 (0.76, 0.89)"
"lambda[6,2]",1.24765021725722,1.1311953996404,1.37884695882315,"1.25 (1.13, 1.38)"
"lambda[1,3]",0.591795583699819,0.442229073748429,0.797847650427925,"0.59 (0.44, 0.80)"
"lambda[2,3]",1.31016410751807,1.02108479087622,1.69235869912985,"1.31 (1.02, 1.69)"
"lambda[3,3]",1.24335150251896,1.05853321185879,1.46147405056504,"1.24 (1.06, 1.46)"
"lambda[4,3]",0.970396230409709,0.806923445514479,1.17774791441538,"0.97 (0.81, 1.18)"
"lambda[5,3]",0.955973136698035,0.830193183567653,1.10931172282435,"0.96 (0.83, 1.11)"
"lambda[6,3]",0.794026894620719,0.666721029432288,0.950607723401671,"0.79 (0.67, 0.95)"
