"","k","generator","estimator","design_id","datasets_id","meandeviance","penalty","dic","devianceatmean"
"1",1,"exp","exp",1,1,4112.95541485441,208.99814781771,4321.95356267212,3903.9572670367
"3",2,"exp","exp",2,2,3944.40744176613,221.291418222709,4165.69885998884,3723.11602354342
"5",3,"exp","exp",3,3,3992.4880279744,218.154816712737,4210.64284468714,3774.33321126167
"8",4,"exp","exp",4,4,3963.97766521376,213.764361965117,4177.74202717888,3750.21330324865
"9",5,"exp","exp",5,5,4163.88210651855,212.661667703066,4376.54377422161,3951.22043881548
"11",6,"exp","exp",6,6,3847.08809728319,213.883315930565,4060.97141321375,3633.20478135262
"13",7,"exp","exp",7,7,3530.65715675076,223.692805734883,3754.34996248565,3306.96435101588
"16",8,"exp","exp",8,8,3913.29761878807,213.266948897341,4126.56456768541,3700.03066989073
"18",9,"exp","exp",9,9,3467.25721617834,213.430035232313,3680.68725141065,3253.82718094602
"19",10,"exp","exp",10,10,4432.03339554136,213.811741767232,4645.84513730859,4218.22165377413
"21",1,"power","exp",11,11,3358.62385536235,230.753907423017,3589.37776278536,3127.86994793933
"24",2,"power","exp",12,12,4133.93389077546,228.200086341076,4362.13397711653,3905.73380443438
"26",3,"power","exp",13,13,4071.18155564478,218.012214242974,4289.19376988775,3853.1693414018
"27",4,"power","exp",14,14,4163.00021352382,229.223165999617,4392.22337952343,3933.7770475242
"29",5,"power","exp",15,15,4199.34344840758,232.631201672129,4431.97465007971,3966.71224673545
"31",6,"power","exp",16,16,3391.09821873888,234.137822845398,3625.23604158428,3156.96039589349
"34",7,"power","exp",17,17,3997.39490560218,234.687821469036,4232.08272707122,3762.70708413315
"35",8,"power","exp",18,18,3754.47658512098,239.520790753919,3993.9973758749,3514.95579436707
"37",9,"power","exp",19,19,3732.23637025515,224.849371717776,3957.08574197293,3507.38699853737
"39",10,"power","exp",20,20,3556.69879592497,216.565964260274,3773.26476018524,3340.13283166469
"2",1,"exp","power",21,1,4366.39771830042,190.723211699429,4557.12092999985,4175.67450660099
"4",2,"exp","power",22,2,4085.80526687674,197.533098095054,4283.3383649718,3888.27216878169
"6",3,"exp","power",23,3,4285.18318092619,190.118114564136,4475.30129549033,4095.06506636205
"7",4,"exp","power",24,4,4459.2484170406,188.143827550367,4647.39224459097,4271.10458949024
"10",5,"exp","power",25,5,4373.1448062724,190.349931918608,4563.49473819101,4182.79487435379
"12",6,"exp","power",26,6,4053.10146657699,192.136071208223,4245.23753778521,3860.96539536877
"14",7,"exp","power",27,7,3769.82792997199,201.219563374728,3971.04749334672,3568.60836659726
"15",8,"exp","power",28,8,4174.77873101279,194.607295305361,4369.38602631815,3980.17143570743
"17",9,"exp","power",29,9,4018.71938969325,191.714884494778,4210.43427418802,3827.00450519847
"20",10,"exp","power",30,10,4577.9827999695,190.103188093318,4768.08598806282,4387.87961187619
"22",1,"power","power",31,11,3210.87442418998,201.951407061121,3412.8258312511,3008.92301712886
"23",2,"power","power",32,12,4025.26933499929,206.622707886942,4231.89204288623,3818.64662711235
"25",3,"power","power",33,13,3820.05428111729,188.722100954534,4008.77638207182,3631.33218016275
"28",4,"power","power",34,14,4112.91496468522,197.105682401144,4310.02064708636,3915.80928228407
"30",5,"power","power",35,15,4131.75100501411,197.814757628769,4329.56576264288,3933.93624738534
"32",6,"power","power",36,16,3266.79344427353,202.853228933258,3469.64667320679,3063.94021534027
"33",7,"power","power",37,17,3790.81622615781,206.369564023871,3997.18579018168,3584.44666213394
"36",8,"power","power",38,18,3602.37203109617,192.122174138152,3794.49420523432,3410.24985695802
"38",9,"power","power",39,19,3551.76918657671,195.313363631066,3747.08255020778,3356.45582294564
"40",10,"power","power",40,20,3284.71556702738,202.253637349512,3486.96920437689,3082.46192967787
