"","f","theta2_constraint","gamma_constraint","strategy_predictors","name","deviance","penalty","penalised_deviance","result","order"
"p3_tc_gc_st","power3",TRUE,TRUE,TRUE,"p3_tc_gc_st",3642.39212072147,164.318817282111,3806.71093800358,"3807 (164, 3642)",16
"e3_tc_gc_st","exp3",TRUE,TRUE,TRUE,"e3_tc_gc_st",3611.0987766505,183.228005622824,3794.32678227333,"3794 (183, 3611)",14
"p3_tu_gc_st","power3",FALSE,TRUE,TRUE,"p3_tu_gc_st",3356.10473604106,205.658871074949,3561.76360711601,"3562 (206, 3356)",12
"e3_tu_gc_st","exp3",FALSE,TRUE,TRUE,"e3_tu_gc_st",3378.72058723605,223.418174452143,3602.1387616882,"3602 (223, 3379)",10
"p3_tc_gu_st","power3",TRUE,FALSE,TRUE,"p3_tc_gu_st",3329.72168004961,197.639629832191,3527.3613098818,"3527 (198, 3330)",15
"e3_tc_gu_st","exp3",TRUE,FALSE,TRUE,"e3_tc_gu_st",3319.64892933401,218.292399530602,3537.94132886462,"3538 (218, 3320)",13
"p3_tu_gu_st","power3",FALSE,FALSE,TRUE,"p3_tu_gu_st",3292.74438885924,213.808569799191,3506.55295865843,"3507 (214, 3293)",11
"e3_tu_gu_st","exp3",FALSE,FALSE,TRUE,"e3_tu_gu_st",3267.14789149587,238.644186915973,3505.79207841185,"3506 (239, 3267)",9
"p3_tc_gc_sf","power3",TRUE,TRUE,FALSE,"p3_tc_gc_sf",4329.45294547977,156.40731307201,4485.86025855178,"4486 (156, 4329)",8
"e3_tc_gc_sf","exp3",TRUE,TRUE,FALSE,"e3_tc_gc_sf",4319.51779784982,177.175000455903,4496.69279830572,"4497 (177, 4320)",6
"p3_tu_gc_sf","power3",FALSE,TRUE,FALSE,"p3_tu_gc_sf",3719.36971351744,187.759731867664,3907.1294453851,"3907 (188, 3719)",4
"e3_tu_gc_sf","exp3",FALSE,TRUE,FALSE,"e3_tu_gc_sf",3752.08576442984,211.276374247102,3963.36213867694,"3963 (211, 3752)",2
"p3_tc_gu_sf","power3",TRUE,FALSE,FALSE,"p3_tc_gu_sf",3729.61705814751,184.975745383516,3914.59280353103,"3915 (185, 3730)",7
"e3_tc_gu_sf","exp3",TRUE,FALSE,FALSE,"e3_tc_gu_sf",3730.16167523613,206.61562924994,3936.77730448607,"3937 (207, 3730)",5
"p3_tu_gu_sf","power3",FALSE,FALSE,FALSE,"p3_tu_gu_sf",3666.40907656674,196.003735385321,3862.41281195206,"3862 (196, 3666)",3
"e3_tu_gu_sf","exp3",FALSE,FALSE,FALSE,"e3_tu_gu_sf",3658.88388605044,225.829728064318,3884.71361411476,"3885 (226, 3659)",1
